ID,Framework name,Initial URL (front-page)
1,Agno,https://docs.agno.com/
2,Atomic Agents,https://github.com/BrainBlend-AI/atomic-agents
3,AutoChain,https://autochain.forethought.ai/
4,BeeAI,https://framework.beeai.dev/
5,BESSER Agentic Framework (BAF),https://besser-agentic-framework.readthedocs.io/latest/index.html
6,CAMEL,https://www.camel-ai.org/
7,CrewAI,https://www.crewai.com/open-source
8,Eclipse LMOS (Agent Reactor - ARC),https://eclipse.dev/lmos/
9,Google Agent Development Kit,https://google.github.io/adk-docs/
10,KaibanJS,https://www.kaibanjs.com/
11,LangGraph,https://www.langchain.com/langgraph
12,Langroid,https://langroid.github.io/langroid/
13,llamaindex,https://www.llamaindex.ai/
14,Marvin,https://marvin.mintlify.app/welcome
15,Mastra,https://mastra.ai/
16,MetaGPT,https://docs.deepwisdom.ai/main/en/
17,PocketFlow,https://the-pocket.github.io/PocketFlow/
18,PraisonAI,https://docs.praison.ai/docs/index
19,Pydantic AI,https://ai.pydantic.dev/
20,Rig,https://rig.rs
21,SemanticKernel,https://learn.microsoft.com/en-us/semantic-kernel/overview/
22,smolagents,https://github.com/huggingface/smolagents
23,Swarm RS,https://github.com/The-Swarm-Corporation/swarms-rs
24,uAgents,https://github.com/fetchai/uAgents
25,Upsonic,https://docs.upsonic.ai/
26,VoltAgent,https://voltagent.dev/
