Term,Definition,# of mentions in the frameworks
Agent,"An autonomous software entity that can perform tasks independently or collaboratively with other agents. Agents perceive their environment, maintain internal state, and take actions based on instructions or goals.",49
Vector Database,A specialized database that stores high-dimensional embeddings for semantic similarity search. Vector databases enable agents to retrieve relevant information based on meaning rather than exact keyword matches.,41
Workflow,"A deterministic sequence of steps defining a process or execution path for agents. Workflows orchestrate multiple operations, tools, or agent interactions to accomplish complex tasks.",40
Tool,"A utility or function that an agent can invoke to perform specific operations. Tools are often external APIs, database queries, or computational functions that extend the agent's capabilities beyond language generation.",36
Memory,"A component of the agent's architecture responsible for storing and retrieving information. Memory systems handle conversation history, learned facts, and contextual knowledge to enable stateful behavior.",32
RAG,A type of knowledge retrieval system that uses vector representations to match user queries with relevant information from a large corpus. RAGs are often used in conjunction with language models for more accurate and informative responses.,9
Session,"A temporary connection between an agent and a user, during which the agent processes input, generates output, and maintains internal state. Sessions enable agents to engage in conversations, track progress, and adapt to changing user needs.",9
Task,"A class that wraps an Agent, giving instructions or roles, managing iteration over the Agent's responder methods, and orchestrating multi-agent interactions via hierarchical task-delegation.",9
Context,"The surrounding information or environment in which an agent operates, including user preferences, conversation history, and external data sources. Context is essential for agents to understand the nuances of a situation and provide relevant responses.",8
Model,"A large language model (LLM) that can be integrated with an agent to provide computational power and knowledge retrieval capabilities. Models can be hosted on the Hub via Inference providers or accessed via APIs such as OpenAI, Anthropic, or LiteLLM integration.",8
Prompt,"A sequence of words or characters that serves as input to a language model, guiding the generation of a response or output. Prompts can be simple questions, complex instructions, or even entire conversations.",7
LLM (Large Language Model),A type of artificial intelligence model that is trained on large amounts of text data to generate human-like language. LLMs are used in KaibanJS to provide specialized AI capabilities to agents.,4
LLM,"Large Language Model, a type of artificial intelligence model that uses deep learning techniques to process and generate human-like language. LLMs are trained on vast amounts of text data and can perform tasks such as language translation, text summarization, and question answering.",4
Team,"A group of agents that collaborate to achieve a common objective. Teams enable the distribution of tasks among multiple agents, promoting scalability and efficiency in AI system development.",4
Agent Framework,"The underlying architecture and infrastructure for creating, managing, and executing agents. The CrewAI Agent Framework provides a comprehensive platform for developing and deploying AI-powered applications.",3
State,"A representation of an agent's internal state, including its current condition, transitions, and intent matches. States are used to manage the flow of conversations and track changes in the conversation history.",3
LangGraph,"A framework for building and integrating language models into the CrewAI ecosystem. LangGraph enables seamless interaction between agents and language-based tools, facilitating more sophisticated and human-like communication.",2
Qdrant,"A vector database used in the example notebook for efficient semantic similarity search and knowledge retrieval by Camel-AI agents, enabling them to retrieve relevant information based on meaning rather than exact keyword matches.",2
Crew,A group of AI agents that collaborate via context sharing and delegation to perform complex tasks. Crews are managed by a planning agent and can be composed of multiple task-specific agents.,2
Multi-Agent System,"A system composed of multiple autonomous agents that interact with each other to achieve common goals or solve complex problems. Multi-Agent Systems are designed for scalability, adaptability, and fault tolerance.",2
Processor,"A component responsible for processing user input, extracting intent, and generating responses. Processors can be specialized for specific tasks, such as language detection or adaptation, to enhance the capabilities of agents.",2
Langchain,"An AI agent framework specializing in leveraging various APIs to ensure agents can access and utilize external data effectively, enhancing their ability to provide accurate and up-to-date information.",2
Semantic Kernel,"A natural language processing (NLP) component that enables agents to comprehend user intentions better by analyzing context, syntax, and semantics of input text.",2
MCP Server,"A server component that facilitates communication between an agent and the Hugging Face Hub. The MCP Server manages connections, tool invocations, and data exchange between the agent and the Hub.",2
MCP,"A framework for building and managing AI agents, including tools for workflow creation, memory management, and evaluation metrics. MCP is a core component of Mastra's architecture.",2
Action,"A labeled edge connecting nodes in the graph, representing a specific action or operation that can be taken by an agent.",2
RAG (Retrieval-Augmented Generation),A context-augmentation technique that combines context with LLMs at inference time. RAG enables agents to retrieve relevant information based on meaning rather than exact keyword matches.,2
Mastra,"A platform for building, iterating, and deploying AI agents. Mastra provides a developer studio for writing agent logic, visualizing workflows, and managing deployments.",2
OpenAPI Specification,"A standard used by Semantic Kernel to share extensions with other developers, enabling the creation of reusable and modular AI-powered applications.",2
Hub,"A repository for sharing and pulling tools or agents, enabling instant collaboration and knowledge exchange among developers and users of the smolagents framework.",2
Planning,"A capability of the kernel that enables agents to create plans or workflows for achieving specific goals. Planning involves analyzing tasks, resources, and constraints to determine an optimal course of action.",2
Plugin,"A group of functions that can be exposed to AI apps and services, encapsulating a set of functionality that mirrors how enterprise developers already develop services and APIs.",2
LlamaIndex,"A developer-first agent framework that rapidly accelerates time-to-production of GenAI applications with trusted low and high-level abstractions. Optimized for agents, RAG, custom workflows, and integrations.",2
CrewAI,"A collaborative AI agent framework aimed at strengthening teamwork by facilitating communication through AI-driven insights, promoting a more cohesive and productive work environment.",2
IntentClassifierConfiguration,"A configuration object used to set up intent classification models, including the choice of LLM and parameters for training sentences and intent descriptions.",1
GitLab Agent,"An agent designed for interacting with the GitLab platform, enabling agents to access repository information, manage code, and integrate with other GitLab features.",1
MonitoringDB,"A database used to store information about an agent's interactions, including chat history, events, and session variables. MonitoringDB provides insights into an agent's performance and behavior.",1
NLPEngine,"The natural language processing engine responsible for tasks such as intent prediction, named entity recognition, and text-to-speech conversion. The NLPEngine is a key component of the agent's architecture.",1
Firecrawl,"An external service or tool that agents can interact with to perform specific operations, such as data retrieval or processing, extending the agent's capabilities beyond language generation.",1
Qwen Model,"A type of large language model (LLM) optimized for efficiency and performance, used in the example notebook to demonstrate Camel-AI's capabilities with SambaCloud as the serving platform.",1
SambaCloud API,"An external API providing access to SambaNova's cloud-based AI infrastructure, enabling Camel-AI agents to leverage scalable and secure AI capabilities.",1
Fine-Tuning,"The process of adjusting a pre-trained AI model to fit specific tasks, datasets, or objectives. Fine-tuning involves updating the model's weights and biases to improve its performance on a particular task or domain.",1
Milvus,"The world's most advanced open-source vector database, built to power embedding similarity search and AI applications.",1
CAMEL,"A multi-agent framework that enables the creation of complex agent systems with various components, including retrievers, generators, and storages.",1
Telegram Agent,"An agent designed for interacting with the Telegram platform, enabling agents to send and receive messages, manage conversations, and integrate with other Telegram features.",1
Intent,A specific goal or objective that an agent aims to achieve through its interactions. Intents are used to guide the conversation flow and determine the actions taken by the agent in response to user input.,1
Event,"A notification or update that triggers an action or transition in an agent's state. Events can be generated by user input, system updates, or other external factors, influencing the conversation flow and agent behavior.",1
Platform,"A framework for deploying and managing agent instances, providing a platform-agnostic interface for interacting with agents. Platforms enable the deployment of agents across various environments and facilitate communication between agents and external systems.",1
Synthetic Data,"Artificially generated data that mimics real-world scenarios, often used for training and fine-tuning AI models. Synthetic data can be created using tools like CAMEL-AI's Domain Expert dataset or other methods to simulate complex interactions and behaviors.",1
MPT-30B-Chat,"A chatbot-like model for dialogue generation that was built by fine-tuning MPT-30B and trained on 19.54% CAMEL-AI sourced data. MPT-30B-Chat is designed to generate human-like conversations and can be used in various applications, such as customer service or chatbots.",1
Condition,"A rule or criterion that determines whether a transition should occur. Conditions are used to evaluate the context and state of an agent, influencing its behavior and decision-making processes.",1
Transition,"A change in an agent's state, triggered by events, conditions, or other factors. Transitions enable agents to adapt their behavior and respond to changing circumstances within a conversation.",1
Domain Expert,"A dataset of conversations between two agents that has been curated to demonstrate specific behaviors, such as role assignment, harm prevention, and consistent conversation. Domain experts are used for training and fine-tuning AI models.",1
Entity,"A concept or object within a conversation, such as a person, place, or thing. Entities are used to represent the context and meaning of user input, enabling agents to understand and respond accordingly.",1
AMP (SaaS),"A cloud-based deployment option for CrewAI, offering zero installation requirements, automatic updates, and managed infrastructure and scaling.",1
Reasoning,"The ability of an AI agent to reflect on its current task objective, create and refine a structured plan for execution, and inject the plan into the task description. Reasoning enables agents to adapt to changing circumstances and make informed decisions.",1
Agentic RAG,"A knowledge retrieval system combining a broad range of sources, including files, websites, and vector databases, with intelligent query rewriting for optimized retrieval.",1
Planning Agent,"An AI agent responsible for creating step-by-step plans for tasks, which it shares with the crew. Planning agents enable coordinated action among team members.",1
OpenAIEmbedding,"An embedding model used within CAMEL for generating high-dimensional embeddings of text inputs, enabling semantic similarity search.",1
MilvusStorage,"A storage component in CAMEL that handles the interaction with a Milvus vector database instance, storing and retrieving information as needed.",1
RolePlaying,"A functionality within CAMEL that enables agents to engage in role-playing scenarios, allowing for more complex and dynamic interactions.",1
FunctionCalling,"A mechanism within CAMEL that allows agents to invoke external functions or services, enabling the integration of various components and systems.",1
Flow,"An advanced orchestration mechanism that enables complex workflows with state management. Flows allow for dynamic routing, conditional logic, and parallel execution to create sophisticated task automation.",1
LMOS,"An open-source, cloud-native platform for building and running Multi-Agent systems. LMOS enables developers to build intelligent, scalable, and adaptive multi-agent systems using established open W3C standards.",1
Agent Ecosystem,"The environment in which agents operate, interact, and collaborate. The Agent Ecosystem includes the infrastructure, tools, and standards that enable agent development, deployment, and integration across networks and platforms.",1
Interoperability,"The ability of different systems or agents to communicate and exchange information seamlessly, regardless of their underlying technologies or architectures. Interoperability is essential for building a unified Agent Ecosystem.",1
